SEZIONE,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8,education,male_share,pop_15_64,employment,foreigners,children,age_over75,under_35,male_not_educated,unipersonal_family
9,699.5391591738517,318.4429052126143,381.0962539612374,24.39977925048879,26.887814528978197,19.11128836702119,23.27555116131407,33.43125223066454,34.125948949607846,33.63572952331015,37.13102964589052,45.75546844650671,57.024480271902576,68.13002362003317,59.169917425577296,60.3685093563181,46.09200543316547,38.35014079059329,92.65022017247975,12.907630971145409,12.912109863900696,10.758166570405592,8.25245982168417,17.079129939542327,12.228995352103084,10.388142194169632,15.893638042834937,21.280405897836317,32.85327548391069,33.560797223653935,27.19773198823532,30.082815886620665,20.890998534596292,20.01060997544846,32.14599746652675,11.492148279343382,13.975704665077501,8.353121796615596,15.0230913396299,16.352122291122214,21.896953597504762,23.247587329140515,21.237391603055585,24.475062548670394,24.171204787991883,34.569226396379236,31.972185437341977,30.285693469697435,25.201006898569176,18.339530815144826,60.504222705953,651.1461547033032,292.8930349052753,358.2531197980279,15.077608734209207,51.351572701016266,124.3410534415525,235.21927894194232,225.15664088458288,8.183406889358594,21.020895064073557,65.61573941217648,106.62435476033716,91.44863877932949,6.894201844850613,30.33067763694271,58.72531402937602,128.59492418160517,133.7080021052534,284.15435048242944,137.7137653128375,146.44058516959194,56.356394331545744,342.6739044007554,157.88327179539192,31.00227354982053,165.22579701857467,63.46738474968879,25.354120781725214,177.44810738218075,94.41588704570313,222.98161769357102,114.25408479857288,108.72753289499815,142.62558864615858,58.74744989453029,83.87813875162828,32.14320062556362,72.69685846083303,37.785529559761926,36.37226845839177,14.151562957355054,22.22070550103672,106.2533201877668,44.59588693717524,61.657433250591566,14.042487814942433,109.37400623036956,19.209094600846583,5.5756338556311675,43.59159481201641,9.580221226882713,8.466853959311265,65.78241141835315,9.62887337396387,61.17273278885841,23.45968051426462,37.71305227459379,432.7689013049676,278.06876099843066,83.89895884791622,39.63932886035764,22.31383329033997,8.308420366120117,0.5395989418029785,0.3218642415250784,0.45521812615707175,452.047910631125,0.6285934384382142,0.2038850674415395,0.8363995628033174,0.13244465153587495,0.2785653404185708,0.025698191906316115,0.6425340641620609
10,735.2319642898219,352.85734274430433,382.3746215455176,20.103206056170166,28.704730059136637,23.735957470489666,20.855868036975153,27.63038205137127,42.57801003148779,42.64713037607726,53.23497685918119,54.80259594976087,58.82131824630778,59.39801728646853,68.942091982899,54.52043066549231,48.35470710368827,43.710496303392574,87.19204581092345,11.39749517571181,11.551051345421001,10.959768770611845,8.749809293425642,13.658369268407114,16.73996564594563,24.25143525004387,25.978667138377205,32.6851418055885,28.448231865419075,33.43331714114174,36.21699351436109,21.450508777750656,21.028637954383157,20.36011078651063,35.94783901120536,8.705710880458355,17.153678713715635,12.776188699877821,12.10605874354951,13.972012782964157,25.83804438554216,18.395695126033388,27.256309720803984,22.11745414417237,30.373086380888708,25.964700145326788,32.72509846853791,33.06992188774166,27.326069149305113,23.350385516881943,51.244206799718086,693.5621817781648,332.12144853238715,361.44073324577766,25.522343246615492,63.07104677075404,150.14268803826417,220.59762823366327,234.22847548886784,10.17481829074677,27.877280170592712,77.30073633475695,103.71729316806886,113.05132056822185,15.347524955868721,35.193766600161325,72.84195170350722,116.88033506559441,121.17715492064599,303.9270216441073,180.59743395267287,123.32958769143443,53.93378533690702,335.9912987142743,163.7836588306236,24.910417644423433,170.49882245974732,72.9823538181372,29.02336769248359,165.492476254527,90.80130501248641,224.92938287806464,129.53580149743357,95.39358138063108,181.52322140801698,84.46574882199639,97.0574725860206,49.49475146376062,90.27593395119766,41.7525359930587,31.170446334930602,13.459167173481546,17.711279161449056,150.35277507308638,71.00658164851484,79.34619342457154,18.610108248889446,147.43952277174685,15.473590387380682,8.997897647321224,71.11361724071321,4.35423393396195,9.612210601568222,76.32590553103364,11.119356453418732,78.99763876604266,51.061632455239305,27.93600631080335,473.8817916040716,323.12663282829453,85.33449955139076,32.91062390350271,22.626858682720922,7.655731199658476,2.227445438504219,0.3185776555771956,0.4799265536355423,483.43082148602116,0.6286877214610852,0.24689245057966785,0.861947303349766,0.11859120664747529,0.2805308992257088,0.02883550108838144,0.6818718054866031
11,935.2485806210898,459.06603585137054,476.18254476971924,20.565415223594755,23.29164321348071,23.086872447747737,25.842257063370198,36.65290820365772,47.829236494377255,59.1075309435837,61.57467860728502,61.417353972326964,73.27970245108008,80.29412460047752,84.90596393821761,76.09676106274128,63.11608000472188,66.07748418208212,132.11056821234524,14.253568650688976,11.564721477683634,11.479188279248774,13.09125571930781,19.294431485701352,19.826349404640496,33.168586598709226,28.814737835898995,31.53556968504563,36.224497901275754,40.06783583620563,43.44468094687909,31.96785535942763,31.331963232252747,38.30168149806559,54.69911194033921,6.311846572905779,11.726921735797077,11.607684168498963,12.751001344062388,17.358476717956364,28.00288708973676,25.93894434487447,32.75994077138603,29.881784287281334,37.05520454980433,40.226288764271885,41.46128299133852,44.12890570331365,31.784116772469133,27.775802684016526,77.41145627200603,897.3148847525008,436.06797678861767,461.24690796388313,27.569583922158927,69.60857298923656,160.79207279765978,322.4027519961819,316.9419030472636,11.859824927523732,31.157354054506868,82.926476073917,161.33151019411162,148.79281153855845,15.709758994635195,38.451218934729695,77.86559672374278,161.0712418020703,168.14909150870517,377.0781379644759,212.9264550753869,164.151682889089,51.748765987344086,435.3223069566302,242.72207926679403,28.135269886348397,214.42589792981744,116.48690661415458,23.61349610099569,220.89640902681276,126.23517265263945,278.7493900805712,154.57503106072545,124.17435901984572,205.45542841032147,100.01796142105013,105.43746698927134,50.00677517009899,107.05280574411154,48.395847496110946,45.24768502218649,16.064296479336917,29.18338854284957,160.207743388135,83.95366494171321,76.25407844642177,15.195164897479117,171.67821038048714,18.582053132355213,9.162208521272987,83.00990284327418,7.845850056502968,6.03295637620613,88.66830753721297,10.736203075852245,98.32874788390473,58.35142401466146,39.977323869243264,608.4649161458947,402.1995673882775,130.43540091300383,44.128388916607946,22.738252374809235,7.3109005452133715,1.6524060079827905,0.3388852008059563,0.4908492195160661,607.0005173371173,0.6212155133222949,0.21968002161936503,0.8753749873946204,0.14125717049964603,0.2527412160656123,0.025834681726189666,0.6610069976357357
12,730.7634098636918,340.7237266260199,390.03968323767185,23.416574962437153,19.789255387615412,29.24445335334167,37.64832623209804,37.57640831917524,47.529026055242866,30.510003574192524,60.936376796569675,47.023974465206265,55.01200775336474,62.33487729309127,68.70686876028776,56.002383433282375,50.73507976019755,29.547622543293983,74.75017117429525,12.29057253152132,8.711080550216138,14.217676534783095,18.11577161634341,17.45564989000559,23.583925551734865,15.8220330667682,30.744260851293802,18.487941457889974,23.527039038948715,26.092424588743597,35.227806381415576,24.082887947093695,27.31287775700912,13.198594672605395,31.853184189647436,11.126002430915833,11.078174837399274,15.026776818558574,19.532554615754634,20.120758429169655,23.945100503508,14.687970507424325,30.192115945275873,28.53603300731629,31.484968714416027,36.24245270434767,33.479062378872186,31.91949548618868,23.42220200318843,16.349027870688587,42.89698698464781,689.6657230961137,321.1616805829108,368.5040425132029,18.512013794388622,56.67931157024577,141.12542754551396,236.53095496585593,236.81801522010937,7.471101881470531,29.52689941879362,62.99239057069644,122.52838988555595,98.64289882639423,11.04091191291809,27.152412151452154,78.13303697481751,114.00256508029997,138.17511639371514,313.58022497268394,157.3030697205104,156.27715525217354,49.970817220397294,358.4102371642366,143.47457912378013,22.384173607919365,170.5778073729016,65.96863431483507,27.58664361247793,187.83242979133502,77.50594480894506,232.93514706473798,116.746243304573,116.18890376016498,178.90777635527775,81.7931113303639,97.11466502491385,59.184124497231096,81.64337069587782,38.08028116216883,35.848634593654424,13.453686694148928,22.394947899505496,143.05914176162332,68.33942463621497,74.71971712540835,22.47946648299694,144.87001551827416,11.558294354006648,12.835156008601189,62.56193301733583,6.396022304426879,9.644310474395752,82.30808250093833,5.162272049579769,80.64507790794596,40.556826415937394,40.08825149200857,433.8864867100492,271.16050445474684,86.13015468604863,44.44631966389716,22.32788834022358,7.625517727341503,2.1961018377915025,0.3240693390276378,0.46625723459467494,503.28025268251076,0.62307277764483,0.2448231177702906,0.8234657452689003,0.10229052271273173,0.3088743153221164,0.021927154752186807,0.6249572474838417
13,1112.2225610048936,515.4808992590188,596.7416617458748,35.61234286663603,36.233538569676966,35.665196424599344,42.51694905153636,45.915034031993855,62.66663508986858,72.46101896473556,78.56118339797285,86.56738281560865,97.28316191613158,106.52459007837388,94.46028945976286,83.63289683039329,64.32513270254276,60.34867259471321,109.44853621034781,19.699956208261938,17.453128847066182,22.29749058141533,19.69030936434865,20.747238856058175,26.754029445144624,29.53366573113817,34.513493347252734,39.10622585312558,47.96769920529732,49.73982154420992,44.82484789685441,42.07591870476972,26.711147062978853,27.025913825757016,47.34001278534015,15.91238665837409,18.780409722610784,13.367705843184012,22.826639687187708,25.16779517593568,35.91260564472395,42.92735323359739,44.04769005072012,47.461156962483074,49.315462710834254,56.78476853416396,49.635441562908454,41.55697812562357,37.61398563956391,33.32275876895619,62.10852342500766,1048.1792509777351,483.54606046062327,564.6331905171119,35.451045494775826,94.10512738497346,210.20197707618354,341.03231327663707,367.38878774516525,16.64678564924361,48.02237497903661,101.45746707391118,164.55306174462203,152.86637101380984,18.804259845532215,46.082752405936844,108.74451000227236,176.47925153201504,214.5224167313554,504.9230907110559,252.25118785075574,252.67190286030018,85.24686085230314,605.3304314669913,219.2341638167818,50.63809792072607,291.059863380191,95.05256372235453,34.608762931577076,314.27056808680027,124.18160009442727,405.87003534351425,204.7691291516967,201.10090619181756,202.41110486881735,78.73037423574715,123.6807306330702,59.82890403506826,103.38857011601067,39.193630717738415,49.126287246415814,14.988499125011003,34.13778812140481,153.28481762240153,63.741875110736146,89.54294251166539,22.264217008609194,165.25871016938618,14.888177690821976,8.812477716017384,63.89338656800828,6.024509951721484,13.45173929259181,101.3653236013779,8.863667739100492,99.05305536754167,47.48205869905905,51.57099666848262,684.2601958569085,439.47181300006014,134.09454034584087,63.7320268299045,35.734906923979,9.139981307793278,2.0869274493306875,0.3303194887660158,0.4634691988204965,770.5891416363775,0.6552429348262436,0.1819879509420658,0.8382284353507016,0.09840524733778194,0.2976658868526495,0.032293700257706226,0.6422583333956807
14,816.0635280532922,373.27403444631955,442.78949360697266,21.924189503461093,23.30933249422492,25.259491988195805,32.32169026555334,31.378712746158044,45.119020742128214,56.68882484418782,63.013638351002555,63.60455298683223,74.48347691438562,69.72119358852137,66.48610706005047,66.75081366400059,52.17922032510364,45.10590664530446,78.71735593418202,10.259112791822872,13.355378780983756,14.372079897961385,11.582654934153425,14.466159782312161,19.85827779549095,21.76875734076657,27.970387246500195,28.64760337639086,36.156350334071476,33.80529970445127,30.218775176339477,36.633250113404074,22.889464115743067,20.592691915139767,30.69779114078824,11.665076711638221,9.953953713241162,10.88741209023442,20.73903533139992,16.912552963845883,25.260742946637265,34.92006750342125,35.04325110450236,34.95694961044137,38.32712658031414,35.9158938840701,36.267331883710995,30.117563550596515,29.289756209360576,24.51321473016469,48.01956479339378,776.21188826963,354.2796694289377,421.93221884069226,23.87533651175113,69.79475648757784,166.46199249101323,259.7494358372828,256.33036694200496,13.323347928699832,33.71186202584795,81.98085497459238,126.82762114722686,98.4359833525707,10.551988583051298,36.08289446172989,84.48113751642086,132.92181469005595,157.89438358943426,366.34969680593576,185.70938957229123,180.64030723364453,54.99829681810752,448.28756604533146,167.2760284660128,31.324825201946396,211.34961432847422,69.7061372880803,23.673471616161123,236.93795171685724,97.5698911779325,297.6911365884987,149.6280484164638,148.0630881720349,145.50163672384042,60.893457627818634,84.60817909602179,35.7360240902392,81.31457252474502,28.451040108856205,27.25004116642367,7.432623215865078,19.817417950558593,118.25159555741675,53.460834411953556,64.7907611454632,15.494717167774297,121.2804651174888,8.72645443857732,6.6617462688216165,49.75790147540624,4.473809883590775,8.83297089895268,71.52256364208256,4.252644554986546,68.65856021743707,36.08134115582743,32.57721906160964,516.1241136967781,343.82992682363033,97.88494974037053,38.540160162445545,27.98695011706036,6.076748953385277,1.8053778998860253,0.31410589755613433,0.4574080590720178,569.5680311628203,0.6432062137651977,0.17829694836495447,0.8558307291635429,0.09645983827014196,0.2891947188803877,0.035693208472061186,0.666176831694459
15,627.7696174159646,299.80165553092957,327.96796188503504,20.79776979237795,23.50051648169756,21.535096675157547,27.078332163393497,31.797579884529114,30.008537895977497,38.98710200190544,47.625799514353275,49.60866444557905,45.71014729887247,49.83377783000469,52.0718879327178,50.303182646632195,37.88902496546507,37.916008822619915,63.10618906468153,12.433329217135906,13.168054528534412,14.594782546162605,13.84005981683731,12.48273180425167,11.101556442677975,18.601450867950916,23.10893502831459,26.278532452881336,22.760517723858356,22.95300180464983,25.703306265175343,22.7763479501009,20.11657179147005,13.458143532276154,26.42433375865221,8.364440575242043,10.332461953163147,6.940314128994942,13.238272346556187,19.314848080277443,18.906981453299522,20.385651133954525,24.516864486038685,23.330131992697716,22.949629575014114,26.880776025354862,26.368581667542458,27.526834696531296,17.772453173995018,24.45786529034376,36.68185530602932,589.572637014091,278.43285052478313,311.1397864893079,18.768835596740246,53.12162156403065,118.80426601320505,202.0603051483631,196.81760869175196,11.114800900220871,23.542371153831482,58.07941419631243,95.0000010356307,90.69626323878765,7.654034696519375,29.579250410199165,60.724851816892624,107.06030411273241,106.1213454529643,262.7333297431469,139.03895650058985,123.69437324255705,47.923804596066475,327.053227648139,130.6436741799116,28.13302604854107,160.24549531191587,55.40669696033001,19.790778547525406,166.80773233622313,75.2369772195816,210.88476751744747,110.8689706325531,100.01579688489437,122.14891099184752,56.01643721014261,66.1324737817049,37.4064069762826,65.06839989125729,19.674104124307632,24.14603517949581,8.625885590910912,15.5201495885849,98.0028758123517,47.3905516192317,50.61232419312,17.90957835316658,95.97178396582603,8.2675486728549,12.063140243291855,39.36094484478235,4.592352122068405,5.846438109874725,56.61083912104368,3.675196550786495,51.848562225699425,28.169985868036747,23.678576357662678,350.68920634686947,205.71806965768337,74.9826100319624,33.03824882954359,28.34459311515093,6.651030048727989,1.9546546638011932,0.3135188502780618,0.47756636704556993,423.02501161396503,0.6210822588024804,0.19457601579165112,0.8004257747585265,0.10052443972111973,0.30856054437991115,0.03707384764282662,0.5866107822383504
16,463.5334343541283,215.42212684353922,248.11130751058909,12.494458682001778,14.449852120594414,16.27315657401573,16.536724757050024,23.673176309968312,22.15781116409471,31.40445230026853,26.279249649735448,36.67814031939247,32.78535348873811,39.285446457256285,38.4309225173165,36.54708866071542,29.080440885201597,32.49519505816056,54.961965409618415,5.527193716432521,5.272220345284495,10.490529581687952,9.31737175330818,9.479527802608573,7.611981323182135,17.09662626975546,10.37459300006094,21.310692268207276,17.223410935334414,18.353486909811863,18.169555622738926,16.213721678455613,13.663119445261827,14.822644906364076,20.495451285044965,6.967264965569257,9.17763177530992,5.782626992327778,7.219353003741844,14.19364850735974,14.545829840912575,14.30782603051307,15.904656649674507,15.367448051185193,15.561942553403696,20.93195954744442,20.261366894577577,20.333366982259804,15.41732143993977,17.672550151796486,34.46651412457345,439.4791306714801,205.80571154740437,233.67341912407574,14.203190618179178,39.81185639382943,80.48356345071988,154.3704580660426,150.610062142709,6.042870949867847,15.943203135944259,43.346767054755446,69.27906139472793,71.19380901210889,8.160319668311331,23.86865325788517,37.13679639596444,85.09139667131467,79.41625313060013,199.7574332511433,105.97609518159925,93.78133806954406,31.273853896268292,234.64162342196664,110.26962967382042,14.979498636971584,114.38499491980247,45.84083113704287,16.294355259296708,120.25662850216418,64.42879853677755,157.48465914327744,83.08439716232101,74.40026198095643,87.34832736207295,40.2168021497223,47.13152521235065,26.40797486742599,44.01655292729288,16.92379956735408,15.501816342641405,4.574905857924023,10.926910484717382,71.84651101943155,35.641896291798275,36.20461472763327,11.943613480343629,69.13674220256917,6.267971679160155,6.310445006433383,30.765972643660916,3.1403844996279986,5.633168473910246,38.37076955890825,3.1275871795321564,42.27277410786587,22.891698019278238,19.381076088587633,274.91364758504074,168.3718767158873,58.96870191138714,25.329930713205158,18.45811156193281,3.04374023357218,0.7412864490561333,0.32491736513583735,0.464739133960641,303.7783656245358,0.657576232726328,0.1884401876722898,0.8269526835947633,0.11857173902935512,0.2955334432323532,0.028051301128675495,0.6124536857116335
17,1386.949534360061,618.6515544786926,768.2979798813685,40.75538914398203,48.823286100363475,58.845362138807104,66.61031333679057,67.82639428715629,67.8923017326124,67.59122854334782,68.88989178960765,79.22909539342436,106.76593930648596,111.07915534128188,127.38719619964104,89.03362213838045,85.3580814367233,85.04655375303992,215.81572371841685,19.910056606640865,21.258597942425695,29.247716056997888,24.650930356583558,34.24808068379207,36.09324504196411,29.944145334931818,34.813241776679206,33.30608745389327,43.67865149152931,53.2977081790923,53.37265329759248,43.48884805585476,32.70477341987498,35.56032233384394,93.07649644699632,20.845332537341164,27.56468815793778,29.597646081809216,41.95938298020701,33.57831360336422,31.799056690648285,37.64708320841601,34.07665001292844,45.92300793953109,63.08728781495665,57.78144716218958,74.01454290204856,45.54477408252569,52.653308016848314,49.486231419195974,122.73922727142053,1308.60543747486,584.2342773035598,724.3711601713003,42.047978961149056,126.91991192848946,217.9683010568442,455.47287637342015,466.1963691549572,22.402366675327357,47.10153157143577,93.62531554795714,214.07645665766904,207.02860685117048,19.6456122858217,79.81838035705368,124.34298550888707,241.3964197157511,259.16776230378673,520.8230869764266,259.44509265487795,261.3779943215486,125.16736040922478,667.5075316489929,367.5546903308277,59.75604461020703,317.4380924999459,152.37182613917685,65.41131579901776,350.06943914904696,215.18286419165088,420.2869972073786,217.99437084556848,202.2926263618101,226.7199519710157,89.08559122936276,137.63436074165293,56.93797481229558,114.73048557499715,55.051491583722964,63.94764775604199,20.518255623668665,43.42939213237332,162.7723042149737,68.5673356056941,94.2049686092796,23.256676973927824,184.79760641973553,18.665668577352335,10.66032599585742,69.45549917196695,8.969766061538394,12.596350978070404,115.34210724776858,9.695902515813941,100.53608976904798,41.45072180930947,59.085367959738505,715.1420333512069,391.1836231559937,152.0572829106568,87.2194432401302,61.40601134598546,16.722256973898766,6.553415724541992,0.3361307369918548,0.44605195730076697,852.3051380687284,0.6110758503187954,0.16346661962406897,0.7596265926657738,0.15560459726315443,0.30162905348685515,0.036211606538683536,0.5470013017174772
47,1062.6324970849066,531.885360855737,530.7471362291698,39.41646359434725,45.94743832158764,44.042106214677915,34.660600193655185,57.88363820818302,73.79744393108228,78.88774128715556,94.92724251824853,85.70078460795247,83.90770604432328,69.89314197657819,72.5839889856368,55.65531201986596,66.72199550545407,50.2542754500173,108.3526182261412,22.62820287211798,25.832829704262796,22.426778402063064,19.330794263140326,36.456435108066565,43.62036425055703,34.2998493273044,47.47036125444391,45.41961321386043,42.53632099350216,34.688857940536934,33.11151389884487,24.289466589456424,29.62981625422652,21.59292452019872,48.551232263154816,16.78826072222927,20.114608617324848,21.61532781261485,15.329805930514858,21.427203100116458,30.17707968052526,44.58789195985117,47.45688126380463,40.28117139409204,41.37138505082112,35.204284036041265,39.47247508679192,31.365845430409536,37.092179251227556,28.661350929818582,59.80138596298639,989.3617513110739,490.8864525786141,498.4752987324597,38.1403099388117,93.68894757091766,201.50835347666137,329.6564304420185,326.3677098826646,20.31357144366484,42.511580649530515,117.43087635982971,168.42649553678285,142.2039285888062,17.826738495146856,51.17736692138715,84.07747711683164,161.22993490523567,184.16378129385842,460.8807081036365,252.1848782062457,208.69582989739075,82.39871111783248,480.0986920920697,212.73170963099324,46.78908985246579,244.10457691985894,97.30336673473755,35.609621265366684,235.99411517221077,115.42834289625569,322.6949476327726,170.638482329568,152.05646530320456,287.40338424401125,143.68832734867465,143.7150568953366,106.47153639927274,154.97859473794233,25.953253106796183,42.01270316692535,12.639344461029395,29.373358705895953,245.3906810770859,131.04898288764525,114.34169818944065,47.00729701278033,227.7989076806116,12.59717955061933,24.098721125978045,117.1189999198541,2.470606302842498,22.908575886802282,110.67990776075749,10.126573247776832,138.1857604708639,81.5463958766777,56.63936459418619,580.3849535682649,335.654340180452,113.54855905780477,74.21725691607969,36.71770446897625,17.209783438160578,3.037309506791644,0.3071313090630872,0.5005355683313327,707.8975997726812,0.65105561630896,0.27046357516115666,0.7739740606239226,0.10196621929348317,0.35255408881096423,0.03819163477442366,0.5783305340995066
