SEZIONE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,education,male_share,marital_status,employment,home_ownership,foreigners,citizenship,student,children,age_over75,under_35,male_not_educated,commuter,family_rent,rent_ownership_ratio,foreigners_african,unipersonal_family,large_family,degraded_building,new_building
1.0,456.0013237537023,213.9905560993193,242.01076765438302,158.61953681680825,218.99323084496427,12.278374033630826,49.980175270698965,16.130006787599996,80.12874042799922,111.5816352426773,4.910650965175591,8.898805089178495,8.470724374288693,15.278025831910782,15.004055876052007,13.248539019259624,12.661197752226144,19.7068529286189,23.301284790271893,16.185367261758074,26.499306249199435,35.93572159076575,36.44302230933681,20.86476660007611,33.208033513161354,42.466470281244256,27.289775203098543,38.05003362544812,79.8588709212745,7.7582031497731805,7.960160377435386,4.146171269821934,7.16032923432067,7.294433651957661,12.251499085105024,7.523188717197627,16.644782335846685,14.485081760096364,20.868361727450974,10.02022658335045,16.93390214710962,18.57663611881435,12.814423561212607,16.57970740343444,32.97344897639232,438.5232132057099,69.55847306759097,155.1121960937744,89.39289966074284,99.44357776650213,20.43102369341068,4.5850429236888885,205.28044752018286,32.810126604512334,76.1629271437414,43.65762214618735,38.71700740894994,12.029693722259253,1.9030704945325851,191.88083187595475,181.60294494603295,6.63726859819144,107.16373708995525,102.49122726649512,2.1813128259964287,220.58987115052514,86.96228421233354,29.84518214012496,25.14666923182085,10.788096081931144,19.81754620592801,12.270004693767987,182.54726221750025,22.222305068280548,145.78047357265132,63.90418343663441,12.557186235208064,2.720222044736147,2.017076190561056,6.499756571371108,4.0403534732759,0.24063515290617943,2.4795868918299675,0.0,5.941039223223925,0.6970829595811665,4.967158623039722,0.9519054293632507,0.0,0.0,12.557186235208064,215.7328647281647,48.37437589420006,0.9818136692047119,47.37437589420006,1.0,19589.15701734849,46.66830234020017,149.16030705706908,24.38429871327935,220.2129081105486,453.3028147683617,91.17505559147321,61.10545261972584,40.2157884122571,21.09805597853847,4.834068264812231,1.7844872437417507,10.706923462450504,85.2326084754568,76.2856026740883,69.20156486678388,7.084037807304412,47.951291059476716,11.524548080284148,9.725725727023018,44.64733037851511,5.672348380088806,7.357338027895821,8.016851392108947,3.5076966881752014,0.0,0.0,0.0,0.0,11.27406824983882,29.737947866187824,10.350714922766201,17.83883382799104,18.869825727739226,24.882876944495365,10.56080146273598,9.681589232757688,1.445838000625372,3.760633498430252,264.53475982459713,13.06627220134942,52.18140404378755,3.953888621646911,0.0,0.15254006829410266,0.4692761730115085,0.03537271921673678,0.9464360935407756,0.31287346654726833,0.027537609171482392,0.027537609171482392,0.05514604436850976,0.6915149049062693,0.17512859450471305,0.03549412341289648,0.180645593036984,0.04873298367941443,0.211923554984217,0.31287346654726833,0.001528686263107601,0.41403138614246277,0.03005525682096444,0.05713582675851802,0.0
2.0,968.4445724282414,456.96091693727067,511.4836554909707,334.7040077915299,489.5520532319788,17.392342550854664,99.01483355672099,27.781335297157057,166.56492454448016,246.52407912246417,6.442785160674248,24.585261580592487,12.843866529059596,28.095775415247772,32.86874395154882,27.377114829665516,29.317691032774746,40.896713032445405,28.976505058526527,58.44168647762854,51.28975083690602,69.218322858389,79.31861065444537,68.38983870483935,74.05613845871994,87.58190762269078,56.161957817326766,74.96578190673608,161.48803377035074,12.95139648579061,13.45076656434685,14.347106429806445,11.397193702869117,15.933952447026968,13.798392824479379,22.919231987558305,25.123966123035643,33.27139204094419,41.91138923185645,31.620463367551565,32.293181032000575,48.036731959320605,31.222275654028635,39.4369319305988,69.24654515605653,938.3345364583074,108.70446351286955,265.4209884782904,285.59922940522665,224.3951846626005,46.194864931632765,8.019805467687547,443.00239017413696,46.10939897981007,123.54057719302364,159.7441908720648,92.92547351511894,17.676412018947303,3.0063375951722264,381.0858490434475,362.7887689159252,16.71430133190006,197.54671941697598,191.95596281811595,4.015108080580831,499.01708918833174,218.6649280403508,88.62015504494775,38.510702559317,16.409941339457873,50.20569000026444,27.05445275089005,368.3570712917135,40.986904432065785,321.68054158380255,173.20053395000286,23.161794114857912,7.563309323973954,6.418696820735931,11.823052668944001,4.9200446251779795,2.998414635658264,4.56489468831569,0.0,14.749602759256959,2.3460363149642944,6.059024763293564,0.007130277343094349,0.0,0.0,23.161794114857912,489.7287271596142,128.26109491713578,1.0170914251357317,128.26109491713578,0.0,42293.40529278148,74.09791752521414,371.7172137381276,54.635425604938064,500.4505568682798,968.4445724282414,223.23759663052624,145.74605064367643,82.16646178910742,42.50362491060514,4.579947865568101,2.216875028796494,14.301250172778964,226.83005436341045,214.43995912949322,204.43481219670502,10.005146932788193,138.01613008260028,34.10677322145784,32.3119088926469,129.32009088277118,18.324480772018433,24.683467320457567,16.73736278951401,9.369410491548479,4.0,1.9999999403953552,0.0,0.0,39.727542598033324,73.18630599259632,59.73954189760843,31.78142170846695,62.14142882381566,82.45893731055548,26.400389039888978,18.36860727146268,13.696039259433746,1.3694104915484786,619.6418022980215,55.092709550692234,140.3369557132246,8.005146932788193,1.0,0.1122464481785551,0.47185035669259223,0.02868655170166237,0.9519869862041602,0.19933948385133343,0.023916489156197037,0.023916489156197037,0.039765520563305665,0.7373029007765104,0.16674989810252303,0.060345928039117466,0.26090255609946716,0.042322406050866464,0.14806241397532693,0.19933948385133343,0.002422478665022544,0.4460732305454964,0.013581407395962876,0.044048989680502824,0.009783069326133048
3.0,289.84899001324084,143.99863591400208,145.85035409923876,115.71651637495961,123.36751243233448,5.577737006067764,36.46698724711314,8.720236952765845,65.09096063976176,64.46908320003422,3.5736726888571866,3.7186218090937473,7.146297576255165,9.586299117247108,10.867067725514062,15.292561066395137,9.290325724054128,6.292774897592608,9.878027345868759,14.307636847137474,16.75602534378413,23.302075882151257,22.441307696979493,19.157092795008793,14.304350246267859,27.741093303717207,19.441572358075064,19.59901263762731,51.591767025820445,4.010744656668976,5.718054347671568,9.716739918163512,7.145162832224742,3.147044663550332,4.71966841846006,7.159458572044969,4.595999548735563,14.865666413039435,14.148746511375066,4.861335527384654,7.717785454646219,12.586489612935111,13.293693605053704,10.876980855711736,19.435064976336434,277.6906334104133,11.868327093194239,64.67130281758728,66.78036445059115,112.93046597688226,16.440173131763004,4.999999940395355,137.41583377175266,4.0029283810872585,31.333970668027177,40.46323516953271,48.32453985878965,9.29115975392051,3.9999999403953552,102.42373733356362,96.84958418546012,3.5731053466442972,56.49485978129087,52.492764178372454,2.001047801459208,151.6793247705209,68.05823721020715,24.870830196072347,6.145162832224742,2.9999999403953552,20.16046074318001,9.870554188324604,108.99286500754533,12.439872477203608,100.50287099904381,53.615625536302105,6.581756724976003,1.009699179790914,1.0,4.581756724976003,1.0,0.0,1.009699179790914,0.0,1.5817567249760032,1.0,4.0,0.0,0.0,0.0,6.581756724976003,146.02098525036126,22.57205754518509,0.0010478014592081308,22.57205754518509,0.0,11609.550900177157,19.734959043678828,113.5549811614328,15.304150391893927,148.59409059700556,289.84899001324084,70.38347860862268,39.75458890560549,18.439816282887477,16.444149254704826,2.572057545185089,1.0,6.0,92.68002654856537,88.68002654856537,85.68002654856537,3.0,52.057892609678674,7.0,26.62213393888669,51.057892609678674,1.0,26.62213393888669,6.0,1.0,0.0,0.0,0.0,0.0,17.765333748655394,40.19419035158353,20.720502448326442,7.0,29.767010301584378,43.91301624698099,9.0,3.0,0.0,0.0,168.59304279554635,9.731879313534591,72.94814723503077,3.0,0.0,0.04094658771331952,0.4968057191002251,0.030085448813768467,0.9455775263311262,0.17379210354165864,0.02270753720644442,0.02270753720644442,0.021201256667977415,0.741200858471068,0.17799533137398077,0.0493623829652947,0.30632425189498286,0.04291846066682976,0.1328111970293691,0.17379210354165864,0.003450072397886631,0.4736627030445384,0.024039028273827416,0.03501399475290233,0.0
4.0,570.7656972839411,295.7947740484112,274.9709232355299,232.52956408936052,230.42606207638664,19.38363205035421,65.35063019747008,23.075808870369656,138.96562490489373,120.23657274175093,12.78975751786129,14.39106284826994,9.411756035635335,23.840785574337588,16.405540290288627,18.788970336318016,17.72824972448143,29.02407835562917,34.9550263132744,43.3862390382551,32.03466565830831,44.017828853327956,42.957627122985286,43.04984911600695,41.4800432084287,40.58252821197402,29.535392214255353,32.73530118538474,80.24357208068545,12.001033476028624,7.084798624739051,12.370031477883458,12.719074038552208,21.88390423706369,16.798508911478393,21.759236051090966,19.820359109749234,21.274967264147563,26.883562465893192,19.245704978467984,20.783197930488768,21.66010796085766,14.745296513372978,20.41951475431415,26.345476254283312,543.5694880803196,28.824143585682123,171.8750793562076,153.48355132436313,151.57533008636528,34.81138372770147,3.0,281.4383169430987,10.173058331097536,94.66363724321468,87.25118795054232,73.88625093265432,14.464182485589845,1.0,263.00704925711216,237.47563978815197,19.374376534247858,156.57344432974878,141.53625023001314,12.0239601123576,248.72335182588472,107.76546614001131,43.10217896229119,19.028124540807767,11.0082226106897,27.67111751464836,22.057949752546847,238.0456169605659,34.42231991700828,158.9219308081374,74.34387014749086,31.345724165439606,12.99030065536499,11.99999988079071,17.345724284648895,2.0,5.999999940395355,6.990300714969635,0.0,19.34572422504425,0.0,10.999999940395355,1.0,0.0,0.0,31.345724165439606,295.59217779591813,50.3405011985451,3.013233927773399,50.3405011985451,0.0,21360.792634757792,40.19871339264728,220.6660984130615,42.09602354726667,302.96083535297544,570.7656972839411,152.08676701419427,72.17657820184445,45.10720820564143,29.94726040734281,2.643021523952484,1.0,6.0,128.40637343718413,97.97497671439055,91.9617470155165,6.013229698874056,67.62695944030406,7.298324198462069,17.036463376750362,55.46993085370036,12.013229579664767,18.036463376750362,5.442123265005648,0.9999999403953552,0.0,0.0,0.0,0.0,13.749717426780762,26.87941999547752,30.3086537694046,21.023955823853612,36.25754599237166,23.656289196623675,13.023955883458257,8.013229818083346,7.99749630689621,3.013229818083346,338.97666352868214,24.875541311965208,55.02256048505228,11.063645218499005,1.0,0.050500833744644015,0.5182420307597094,0.04042956502147683,0.9029249993828073,0.18216986515708417,0.05491872464410895,0.05491872464410895,0.03333789089175373,0.7402387340091422,0.14058933895735917,0.07601409693104169,0.28231801534322926,0.06030902011247545,0.13268617161624974,0.18216986515708417,0.0,0.5020014116247076,0.012024727617706924,0.1311811226951086,0.0
5.0,794.7079539639308,374.98449914198136,419.7234548219494,273.4338096662141,365.90567123957226,19.361088847472274,103.74651952022032,32.260864690451854,143.92428356592427,185.76741255913657,10.90539886177794,19.275866157142445,15.11153799800013,29.83516302107455,24.300273400731385,25.360196834197268,28.213145390000136,25.578891636767366,35.65749769029571,41.91517522108552,66.55694035797933,59.15520640342584,59.81415896168255,52.17094743802954,45.723600587305555,51.39165245800541,53.90959339332767,55.84210988871928,139.28340128130367,16.099212796467327,10.61727485479787,15.535368910524994,16.925957410519914,9.714697736239032,18.32523141386264,14.045466370531358,35.44830260422168,32.88066322115992,30.83922258326129,25.31280712100488,21.559831498580024,24.811519450046035,24.63644030294381,28.016514869021194,50.21598799879939,759.8666541995044,52.66251787939473,240.18124664009883,219.11776670980908,206.0668032184949,37.23880317019575,4.599516581511125,356.7429567662948,20.40396540522852,116.56290413122042,118.60384122755931,81.58659580850872,17.70895289249529,1.8766973012825474,326.0981242930502,302.7889313479536,16.117024796240003,182.59703451753376,170.45878340747367,8.718043688142643,389.11419641487737,150.1356080626574,62.247873796964996,32.51190988397502,15.15462604619097,36.35560012399219,18.590429265750572,317.3027471995265,40.098992275074124,257.99881260994516,116.25168719042267,28.453478915500455,15.377910660696216,13.21872025274206,15.090217815130018,0.14454084762837738,9.275520076742396,6.069097143015824,0.03329344093799591,9.26812590402551,8.003693708451465,6.58340943173971,4.59824987128377,0.0,0.0,28.453478915500455,403.18432361878513,66.84696071315557,1.020106581661821,66.84696071315557,0.0,31517.63545719924,91.5695465309982,289.25915289337354,31.40015556182334,412.2288549861951,793.216989223416,183.70871246428214,123.45045762749942,66.89851943333997,28.985781147846865,9.143627266632393,0.041757046594284475,0.25054227956570685,123.9912522751547,104.85156947464566,86.09639683642308,18.755172638222575,62.53375145098835,10.039456804981455,13.52318858045328,56.69078030488163,5.989941043313593,14.159339076999458,7.854800665518269,1.4015357457101345,0.0,0.0,0.0,0.0,11.255656590961735,32.85387577819347,28.80815001029987,13.17871445696801,38.40868898159533,26.419087103495258,5.052635738393292,5.165346153080463,2.92561425617896,8.125024603679776,478.8987555283966,31.317202685866505,47.77911891575786,6.0000752347987145,1.0,0.06626650408709123,0.47185195174100486,0.04059461658781393,0.9285209229717936,0.3165657702273383,0.035803692128129706,0.035803692128129706,0.040910512751015746,0.7451180730714929,0.1752636306036334,0.052742866120839046,0.2519044084528617,0.05045751974050846,0.2221327920726576,0.3165657702273383,0.010071238960840608,0.4456473879550093,0.022282244928085594,0.08130508931864304,0.0
6.0,602.1835730162566,277.22684187111736,324.9567311451392,279.46808797557605,241.52656545311038,17.918284408558975,49.07050148338021,14.200133695630939,133.88375932605413,116.23036494659027,8.918957188536297,12.18654986321053,6.007210546726128,29.17026924509264,28.84586485287582,18.11013769096462,18.294578946370166,23.08084325696109,37.79616930334305,39.18844422529219,49.774922321914346,56.10906037852692,43.646791443024995,45.97560544141743,34.46537925879238,47.11398397794983,27.169864176568808,20.987216523266397,82.45444197389588,11.221717226319015,14.859314074172289,7.935115703745396,6.123537689069053,7.018795684532961,17.018844294725568,16.842947248922428,24.81751529201574,27.892064780913643,21.858842973218998,22.85363265311753,15.366738269469352,26.11002721246041,15.097589464101475,12.014348718323163,30.19581058601034,567.9074521183211,46.77288401404803,173.9752501170442,178.60369663324673,130.64479450629733,36.886630571243586,1.0241962764412165,263.948303750396,14.962013768963516,85.24211799797195,89.62793258238526,58.18945447387523,15.92678492720006,0.0,285.2525264155847,265.9729518390086,16.05025431867398,149.8635535183712,141.63915048533818,6.995063761249185,240.80477481173875,93.34714134850947,52.33081874715572,25.112304680602392,9.017548152245581,9.887315276238951,5.039176121339551,255.0845350435702,53.93386025147629,153.4743361077417,79.2901769401069,20.26575603875972,7.982062339782715,7.004674046300352,12.20248493719555,1.0585970552638173,3.9940074682235718,3.988054871559143,0.0,6.059551313330303,7.196795776486397,7.009408948943019,0.0,0.0,0.0,20.26575603875972,276.01151948557526,69.4015310190589,0.0,69.4015310190589,0.0,22374.530807512943,54.60092730111501,200.74853796853859,23.778226223948877,279.12769149360247,602.1835730162566,108.85573287952866,78.05334767789464,43.132102002186,39.71780182866496,7.258611172248493,2.1100959330797195,12.660575598478317,146.12112942720705,123.21509280531609,113.21290349784249,10.0021893074736,87.96196545675048,14.727286756038666,10.523651285053347,58.511618997115875,12.603157951496542,28.236395914063905,8.861730635166168,1.0,3.0,1.0,0.0,0.0,6.057935489312513,60.68430151580833,34.252044093227596,12.218622399494052,49.070893676922424,35.67464479630871,14.595013916492462,8.861382295377553,1.0,4.010968812741339,340.48837716155685,40.92548729981354,63.82097219277057,8.466444005258381,0.0,0.07767213539181905,0.46036931974501627,0.02358107117486513,0.9324122565404112,0.2719866747406753,0.03365378423933298,0.03365378423933298,0.04170207525724794,0.6696185518437077,0.13692575764046944,0.06507723887086879,0.24546897936099962,0.0895638185235257,0.1956127212206978,0.2719866747406753,0.011951165888565532,0.3899854303134363,0.033564233828598626,0.0747833837281607,0.008832915410733699
7.0,189.34167771253487,90.25705049695352,99.08462721558135,75.724866649467,87.39893833220594,5.109115311810456,17.601644135014794,3.507113284036677,37.72647051470267,42.94158712426906,2.075610570564095,5.315326791909683,2.198055495508015,7.056143094325307,8.911439860801693,6.102247868386257,7.2017919715272,8.754923749791487,9.730483682831618,2.8688018205375556,12.734338455793477,15.598965784191023,16.93344573073773,11.167621006916306,20.836230705193884,20.688736175936356,14.659367353771813,12.113833259629246,13.98330719216392,2.8634193026937282,5.013171051932659,2.133241641917266,2.6828602455789223,5.658011698609698,4.187248575086414,0.4814998309848306,6.172830139312282,7.913108455786642,9.326947565959927,5.8619854775533895,7.90196705942617,14.093245467312954,5.6238134482409805,6.270235556876287,4.0734649796813756,180.86823212403942,14.439345940978455,61.75241833726977,54.001474548962506,39.434111968843354,10.190199006678085,1.0506823213072494,86.68506922934466,6.699335394989248,35.17460470943297,22.409963908752616,16.655519660780556,5.717183657061469,0.028461898327805102,88.0219957879417,81.0660008224786,4.072152228443883,50.47019545319017,46.53836164895438,1.1229305993765593,79.24985110107991,29.7770230472197,19.699356726234328,7.935672895917378,1.4095503288808686,3.9317984986118972,2.3463733228854835,69.1536479970091,19.089880740093577,47.68302298031631,24.98882694482745,4.8493836017569265,3.0377016987185925,0.03638353885617107,4.081897979673158,0.7311020832275972,0.018850849359296262,3.0188508493592963,0.0,4.73408391745761,0.03506537899374962,0.04385076644939545,0.03638353885617107,0.0,0.0,4.8493836017569265,80.69163321834458,2.485626749279618,0.07907166017685086,2.485626749279618,0.0,7596.37131225813,13.77831125751436,61.137778652104316,7.372397239578277,82.28848714919695,189.34167771253487,29.168838608458827,21.514875109778586,15.800495557492468,10.659359027940809,3.7653469728793425,1.3795718726469204,8.277431235881522,48.762225038180986,41.614798617540146,39.576738160327295,2.0380604572128505,26.617486594230286,1.5033810270306276,11.455870539066382,24.045927967015814,4.914655210242927,9.24721785006659,0.13585726742712723,1.0510877193883061,0.1819921461865306,0.0,0.0,0.0,7.419200223870575,23.25442818785632,6.676596608671389,2.2265131399290112,16.062047780542343,20.725277951924,0.4162283983114321,1.1387860041122622,1.0661541447043419,0.1682438807329163,83.17375652651208,27.55462217780405,10.466136936529438,0.5559790459938085,1.0,0.07626079009873765,0.476688764921503,0.018522669316162386,0.9209743552938614,0.22536493083790052,0.02561181278386806,0.02561181278386806,0.041911918135454536,0.6159271542608744,0.07385224088588602,0.015151454530222715,0.20632268627535744,0.10082239140754048,0.16743911250346546,0.22536493083790052,0.00018519630446597762,0.3544704687008392,0.06252294851645564,0.03931549486697114,0.0
8.0,845.1428531559941,400.50399682010175,444.63885633589234,293.9883669150877,403.7472159463796,16.9488482955785,106.24847206371487,24.209949935233453,155.94168497264036,201.40736896314775,8.785583282471634,24.43961973467958,9.929739867162425,32.77494166389806,29.115253243333427,34.208484126167605,34.858051567774964,26.829538870311808,31.56475689916988,41.001426637987606,61.961762757826364,64.57633103916305,61.74638531747041,61.44104923118721,42.991746349376626,63.949616448255256,48.32838860232732,72.16060334313079,137.6345170586137,14.051697064278414,9.997767332737567,15.85680158159812,19.933243330044206,17.89777606361895,14.484647420671536,21.16272801690502,32.168120607879246,32.32621092302725,30.477427783655003,34.15570523266797,20.18613576987991,27.11736010047025,22.570153078326257,30.458271462033736,57.659951052308315,805.8093022385729,69.08766220297548,255.47838704648893,236.29367795819417,203.76112580834888,35.11062071376364,6.077828508801758,386.19521160580916,31.95823384958203,131.2102208933211,136.93380750867072,65.37147428173921,15.736585684411693,4.984889388084412,333.49079837143654,313.2921161764825,13.781701703934232,187.65875180062721,177.4709449466318,5.798358036176069,415.55337575115846,172.93897904086043,73.67561086444766,38.65361330713495,20.57726951650693,41.07077390223276,25.034440603514668,349.0809483108751,36.04176565693342,262.1533776773431,127.3136774096638,25.780470137455268,10.945463852141984,8.920915755035821,13.553743144730106,3.3058112376893405,5.73433642386226,5.1975359171046875,0.01359151117503643,15.244954624358797,5.161715935857501,4.189171266625635,1.1846283106133342,0.0,0.0,25.780470137455268,407.83025719228317,44.066658859781455,2.007283253595233,44.066658859781455,0.0,32763.79086084364,100.25784637179459,286.17269761589705,31.099102292384487,417.5296462800761,845.1428531559941,169.8694720825879,127.37884055444738,73.7662147366209,34.743217530078255,10.387222623714479,1.3846787526272237,8.308072515763342,84.98682419516263,74.45833807019517,54.239398298668675,20.218939771526493,33.329272738075815,12.708707369398326,8.201418191194534,29.333112909807824,4.36360054044053,11.117495329584926,3.866175188217312,5.5590143306180835,0.0,0.0,0.0,0.0,7.246477685403079,15.947626688401215,10.395156079553999,20.650137845310383,13.745563145843334,14.56540393398609,5.029273692634888,5.027149829082191,3.0137280433555134,12.858279653766658,467.48102332340204,26.32796197431162,23.93527263798751,3.9761636863695458,0.0,0.0817467271301926,0.47388911273935586,0.028645985521651034,0.9394325651754354,0.35034036163142773,0.03050427515441201,0.03050427515441201,0.04573618905110752,0.7119214534472674,0.16285355374496613,0.04851419672411248,0.23937406680414652,0.04264576754372782,0.24012150338312094,0.35034036163142773,0.006107507052307482,0.4068440974096497,0.028194168920032063,0.07330766584973605,0.0
9.0,1111.6053208208614,514.5608708492182,597.0444499716432,435.0152785402388,484.7114621260953,37.5936681423409,109.23155079139906,45.05336122078734,220.527444180796,246.0104725480669,14.489012653353711,17.86280012307543,15.671141343926138,51.32652036671425,43.261307424072584,55.14376088399149,44.965473643696896,55.60881856772903,40.68782062617174,44.65165254929525,68.064585215845,88.81755707140474,95.62829287658315,64.6351333024686,77.53380570052104,84.99160609493265,68.94456443708623,66.55595081865249,160.78847124169624,25.77709239669275,20.63347383024302,26.133524055716407,23.867340580189193,27.733451469943248,20.453958118527225,26.1578959166618,31.4670011827875,43.5985839264722,40.33953929099516,27.508444622086245,44.17705494925758,40.27188645305068,32.829219840881706,25.848633570909442,57.763770644804026,1049.5344851869158,275.31137471757756,374.88824058124374,200.19702530307768,146.8609931671308,50.273742717690766,2.0031087001952983,485.458617973778,132.52147231329218,178.8201780471063,97.04383198939104,50.67155442197327,25.396751634467364,1.0048295675478585,477.96895727598894,449.77520330914194,19.890503217542573,262.55379403629195,247.91844433235747,10.664853480917373,483.9047748700941,179.46298653027407,106.02937316143289,81.21988652332948,46.25310118173002,29.81548753458992,13.437915207887272,518.5966386085056,29.98957833676468,266.84002765074183,117.77231153536195,36.17990673877648,7.412435655522131,7.603684291247191,21.48273646391317,7.0934859836161195,2.177140401872748,4.1467164965761185,1.0885787570732646,19.952274956787733,0.005699655623175204,4.330627888553863,11.89130423781171,0.0,0.0,36.17990673877648,517.2210099807598,211.0259361972494,0.0029531328473240137,211.0131376150457,0.012798582203686237,51911.57939609809,128.9216348630216,343.20883822662654,61.55603113896723,533.6865042286154,1111.6053208208614,233.25877861160188,130.1486493123448,82.47487118203208,74.32029916210013,10.51518140880944,2.968724551727064,20.76752634602599,172.75693755288012,169.76025172922164,153.59495138239072,16.165300346830918,83.10628343907229,69.48245063722425,1.006217306094186,80.570462118656,38.997455946813716,33.02940543614386,0.003895189965987811,0.9937326908111572,0.0,0.0,0.0,0.0,16.190743133080105,27.587877218451467,47.964049713820714,61.85228131703843,42.92064677468079,23.6458783566668,31.23490267309171,39.005469599545904,12.809839646895853,3.978214331509662,697.7661528614153,72.59602349864872,65.84011102585282,9.324965763491491,5.833851094397687,0.2476700763849122,0.4628988915501433,0.0405299978120992,0.9410134203536415,0.37563611569318767,0.0325474393304087,0.0325474393304087,0.07306539920423637,0.6809380133177844,0.1446452875225197,0.04016862074420657,0.1328847421333719,0.026978620716405867,0.24156810007658622,0.37563611569318767,5.127409446876623e-06,0.437070783621841,0.025265592915874824,0.09869345783475471,0.0
10.0,811.0287249519024,377.3272960614413,433.7014288904611,319.333847533213,343.2238988005556,27.124915355583653,88.77628083014861,32.56978243240155,172.4102629434783,166.60397962341085,9.574967784574255,17.77073417440988,10.967351535568014,39.102691303472966,27.55300652445294,39.331533674383536,30.57867817976512,34.9821312869899,21.473269587615505,37.097475627902895,69.6883293390274,74.39432458952069,81.46585427015088,49.38907680520788,41.46154234278947,44.188797837356105,42.388846865389496,51.9058994310908,126.02726728678681,22.105905004544184,15.304803053149953,18.594481751788408,20.03963253227994,15.492537416284904,8.238985545933247,17.69925514399074,34.74614970921539,31.06134136696346,41.78902255394496,26.933405387215316,16.915713031310588,19.692041674628854,25.150229442864656,23.256367946509272,40.30742450081743,767.7803939774167,68.52733467589132,247.52389127854258,228.5409129348118,156.19898329069838,41.299143232405186,25.690128565067425,353.1002490783576,20.620461581042036,124.23320876643993,124.91646269569173,52.50305662397295,15.84988506953232,14.97717434167862,340.71484899753705,326.1795444772579,7.472325585316867,174.59253426082432,168.14780858671293,3.319436499848962,364.3266444520559,146.72957199113443,55.845374568365514,36.655720978742465,16.345281477784738,52.682898616883904,27.595994217321277,371.35937274666503,37.618259084643796,219.14265028806403,101.78545446833596,57.350621649762616,24.698631778359413,25.63223344576545,29.45410667057149,2.264281533425674,10.894157367525622,13.497139066457748,0.3073353443760425,42.60632808343507,6.936745858751237,4.923458009492606,2.8840896980836987,0.0,0.0,57.350621649762616,381.0839488788042,71.03632213314995,2.898365018190816,71.03632213314995,0.0,31900.387173020048,89.50963858980685,266.9033637801185,37.200339378090575,393.61334174801596,789.218199296156,169.52515375311486,114.98211332643405,61.71087407041341,38.117821409134194,6.387495807372034,2.8898833815474063,20.18743200553581,57.983297352911904,30.02627748204395,23.394999454030767,6.631278028013185,20.278486226685345,2.980594624998048,0.13591860234737396,19.13682781625539,1.0708292052149773,3.116513227345422,0.07082920521497726,0.0,0.0,0.0,0.0,0.0,0.13591860234737396,1.163524312665686,2.6524739861488342,19.443082552868873,1.2921148107852787,1.8763850629329681,0.9798289623577148,2.3917463570833206,2.0945027337875217,14.760421527083963,479.67607974773273,9.652203235309571,11.428595184115693,2.314201034605503,0.0,0.08449433733676362,0.4652452921242937,0.040158605275458135,0.9573387994005972,0.33536347134068745,0.0707134283722981,0.0707134283722981,0.045196575473841955,0.7228090029064239,0.1553918664154106,0.04574125981802055,0.21875861342665323,0.04638338683611327,0.22740499138646902,0.33536347134068745,0.008553021175868484,0.430689551833438,0.023569778269504512,0.0989186188763422,0.0
