SEZIONE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,education,male_share,marital_status,employment,home_ownership,citizenship,student,children,age_over75,under_35
9,804.5905500345834,372.566655626164,432.02389440841944,357.23061185095867,314.6021877672247,16.649087609017442,78.88702341518365,37.221639392198995,181.6962960961464,154.45245411710493,10.532350646426494,12.519181474883226,13.36637329160294,29.3834411044445,30.199531688042043,34.896941335602605,26.042202866585285,23.851808191422606,38.142553347839566,55.27392601970496,58.56515092112386,70.06882493632293,78.50306575790455,53.85769637871272,56.69061936021899,54.52113760192151,55.00403839464707,38.89362023450667,100.69599189558357,11.820914810807153,11.440429708869488,26.180346200155327,15.226299308058515,8.96136565222696,13.289055698674929,31.40041822251078,27.543676517561835,33.0831717371766,41.137302881106734,29.448431834855,22.313464039769315,28.407246371294605,23.84983384564839,14.913986046572973,33.55071275087539,771.4025261989664,284.58236175791535,237.89013306146808,136.9896587515177,75.52821370934544,35.051641985170136,1.3605169335496612,357.837776569635,137.52887306814227,102.97957183371909,65.21079581471713,37.89869414616987,14.039975392952329,0.17986631393432617,401.4812382248201,385.2119373106616,13.228420853891294,213.24608273810009,205.87708456784458,5.579827360546915,308.62939768167416,109.87888216823194,57.06530691019725,44.82068497900764,19.035002809105208,48.6475243521636,25.766935239247687,331.7306812821771,51.04102190389676,158.09588144030567,61.09143810684327,143.6266757855483,58.555353563890094,37.31231669183035,76.19104539461114,30.123313699106802,17.265892559778877,31.942091843957314,9.347369160153903,63.78408351680264,7.90306510834489,38.22451685069245,33.35799076606054,0.3570195436477661,0.0,143.6266757855483,447.31537806620327,40.261554360666196,0.0,26.261554360666196,14.0,43144.503498970815,165.8153457317967,234.19012776808813,62.36077734288119,462.366250842766,804.5905500345834,263.2696249714936,105.54606276230334,54.8941834040379,29.079291441157693,8.770331878484285,0.8067563852891908,5.377424169317237,130.33964701242803,130.33964701242803,104.51271974435804,25.826927268069994,102.88628373639222,1.5365028509986587,0.08993315696716309,79.52342745552596,21.732539876415103,3.256752412416972,0.0,0.0,0.0,0.0,0.0,0.0,11.790504989970941,13.159782075010298,27.844775843113894,51.717656836262904,26.207014840183547,9.856883899614331,15.716177995614999,31.039620689502044,18.934176711110922,2.7588456083321944,556.7162997428095,16.57674972676614,62.189768172611366,21.723326178362186,4.022875666618347,0.3536983646473144,0.4630512446487845,0.04626159155187581,0.9594768089634911,0.7080372999155581,0.1785090264599489,0.05570620358029451,0.7976700009171253,0.12515184511085223,0.06869820434422097
10,787.4029736422526,372.42015041419654,414.9828232280561,369.30684454759466,282.7954338401614,24.220429551554844,58.161957441974664,52.918308260967024,182.69573880551616,145.62159635769785,10.60482232121285,14.460202521062456,19.037790408707224,31.074097453034483,28.880379322101362,17.57242659412441,21.466432376182638,24.228100617183372,43.72335768479388,64.23957089614123,74.69848890148569,75.35790228541009,61.98441830943921,60.86473264853703,59.73794964211993,57.90218083106447,43.06069859105628,47.52276941679884,75.08946807277971,15.190779849886894,12.204583382583223,9.389450536022196,11.399629546678625,12.15874194947537,19.6237957252888,31.39171849936247,37.83038866065908,35.188186046434566,32.015158084832365,24.86763590204646,27.774084730190225,29.03338231588714,17.826297011924908,23.01150603289716,33.51481214002706,752.5503356897098,262.3092366750352,239.39883551531238,129.0514464249427,76.38126233074581,35.917128735687584,9.492426007986069,355.1238246486464,116.54268663353287,113.09126415886567,65.4322530082718,39.510908205091255,15.742754510021769,4.803958132863045,422.00222838678746,397.6546280355833,19.55998478375841,223.46069135639118,212.18188804964302,7.593791264225729,287.8738418862049,112.17464528931305,47.76744306227192,43.152813982916996,19.526590888155624,56.83816093637142,28.01953444466926,333.9915779221046,54.4063043713104,140.11542390464456,62.01065480534453,137.45396627503214,55.64323879711446,37.538855376216816,76.94314693592605,22.971963962889276,17.948718579980778,28.672723269439302,9.021796947694384,52.24395937708323,13.550002589821815,29.257300967845367,42.40270334028173,0.0,0.0,137.45396627503214,466.59503661686904,35.21171761691221,0.0,34.7975454145635,0.4141722023487091,39727.05183803779,179.5512612623861,244.4787765913061,57.36527973043849,481.3953175841307,787.4029736422526,296.5522343159246,103.16871820838423,50.24404870858416,24.663798415567726,5.611568814492784,1.1549491211771965,7.068119049072266,123.59214537381195,123.59214537381195,98.34683492869954,25.24531044511241,89.61820970923873,7.038352269824827,1.6902729496359825,84.16248093606555,5.444253973662853,8.740100018971134,0.0,0.0,0.0,0.0,0.0,0.0,8.595681957900524,8.064011163340183,10.84472403966356,70.84241776779527,18.642952944268472,10.462191946804523,19.628469875606243,30.848290848109173,11.661824218928814,7.103105094982311,608.2134033050679,13.85137708473485,51.25863338224008,32.267854207661,0.9689702540636063,0.33313213875950176,0.472972750777801,0.06720613209800988,0.9423045692334868,0.7344247372545595,0.17456622704790895,0.0548039763976342,0.8303382644648426,0.09536345503680525,0.08158411010183425
11,1013.7955374168232,474.4799631838687,539.3155742329545,463.4803954618983,372.9909883416258,43.43973046820611,73.65376800997183,60.2306551351212,230.42806639289483,182.7046529278159,20.14321402600035,19.037640207912773,22.166389629244804,30.870752566494048,30.951852356549352,26.07167161256075,32.7730415915139,35.34811023902148,53.47211374854669,75.31778886495158,88.8964489880018,85.48820051550865,87.9853733824566,75.72055366728455,88.2771831820719,76.25873509561643,64.24327287171036,56.706683810800314,105.41375492373481,15.786839716602117,11.967202509753406,17.171352621167898,18.199541845358908,16.495318591129035,21.473212806507945,30.125180491711944,43.42478856630623,41.80171336326748,44.70951454434544,35.01065363641828,41.006967407185584,41.62308496097103,27.953177207615227,28.090334570501,39.64108034502715,979.188090343494,335.99725467851385,318.437738025561,179.5826194579713,94.062244115863,44.83439327497035,6.273840790614486,457.07561133941635,148.30072036245838,146.89857102558017,94.92302337102592,44.797311699483544,19.488060034345835,2.66792484652251,530.4931229511276,500.62772865314037,25.29541720217094,278.7024827795103,265.9012203379534,11.579010538756847,395.40813793009147,150.85208555683494,72.94328816002235,59.11232826905325,28.298994157463312,75.16068659769371,39.06914625084028,419.8893093075603,71.14330501528457,188.19183490332216,81.00038524437696,178.36516399495304,76.84667626069859,52.56838742829859,99.54374941857532,26.253027148079127,25.18451701430604,40.97879564668983,10.683363599702716,65.04000783152878,21.9213131563738,38.83432366931811,51.503349747974426,0.8232853412628174,0.24288424849510193,178.12227974645793,588.6883542127907,19.43166130175814,0.0,17.65162899484858,1.7800323069095612,52470.60764739243,174.52637954754755,362.2096277028322,74.15499168867245,610.8909989390522,1010.0408409880474,364.8021765607409,142.25905077764764,67.8433801624924,24.988451479002833,8.753018204588443,2.244921754579991,13.471525445580482,131.81406736839563,131.81406736839563,117.06110153719783,14.752965831197798,113.7674376401119,2.9137272415682673,0.37993665551766753,107.19899181090295,5.845937333069742,3.7732881447300315,0.24288424849510193,0.0,0.0,0.0,0.0,0.0,9.065710074733943,8.306699089240283,12.79066152498126,86.89803084824234,19.319692205637693,13.498809604439884,23.226959594991058,40.30875174468383,15.029069732874632,5.6778186545707285,668.826032132376,9.738307020161301,68.45284083765,37.701240425463766,1.1687132539227605,0.3314250677554208,0.4680233298253173,0.05941104780219337,0.9437025797208334,0.48183804680844733,0.17593800466850743,0.05830793891603919,0.8300355189698537,0.10397930453741366,0.07429287867735462
12,831.3973044473678,388.3964718678035,443.0008325795643,412.933276347816,309.8293768116273,20.400002918206155,51.91967791551724,36.3149704542011,194.95693127345294,158.0233085025102,10.757312908768654,10.231882189400494,14.427036993671209,35.09737702365965,40.48872565617785,38.982507271226496,35.37558654276654,32.19945370638743,38.236812273506075,49.657053518574685,70.48861735546961,83.70880246674642,90.50503717456013,53.68504557386041,62.10610117064789,43.03729810472578,39.07847026968375,35.7965761879459,82.95384015142918,20.639484723564237,18.52201622026041,20.611804600805044,13.4956713183783,14.546646151226014,19.943644234910607,20.11228142026812,30.16412676125765,35.23549823090434,49.73081689607352,25.61680012382567,30.43772396305576,18.54500469379127,21.13270989153534,19.20503370743245,30.457208930514753,790.4605345628224,253.9055560901761,235.0519316950813,158.8384849880822,88.17614422831684,51.329621012322605,3.158796548843384,365.92398285493255,106.27793395100161,119.9353978279978,75.78329935995862,39.96453206054866,23.294283111579716,0.6685365438461304,412.58560734288767,377.7118364465423,24.929792679380625,214.64330820459872,195.78763365605846,14.049243731889874,304.2430871534161,113.97985811857507,57.67995627503842,50.61089593498036,22.791346642188728,71.26049523754045,36.50007202103734,370.16546040261164,50.88323836680502,124.69173970585689,52.72507064091042,199.0947556369938,86.58637340925634,68.09428510535508,107.11291397223249,23.88755655940622,32.50862957490608,43.364558107219636,10.713185727130622,86.91700059687719,24.69116497039795,25.015254609752446,62.47133545996621,0.0,0.0,199.0947556369938,418.4430701849051,10.008167174179107,0.607241153717041,10.006556034088135,0.0016111400909721851,42137.35318092164,142.38726356159896,235.56346080172807,75.35207654722035,453.3028009105474,813.5421294290572,254.18198289815336,96.91018247744069,57.0984634864144,33.391434059944004,9.645773054566234,2.074964934028685,12.44978960417211,110.82720119971782,110.82720119971782,91.03580394107848,19.791397258639336,89.09148969966918,1.9443142414093018,0.0,88.48424854595214,0.0,2.5515553951263428,0.0,0.0,0.0,0.0,0.0,0.0,5.764226898550987,2.500649642664939,13.049851573538035,69.72107582632452,12.976429616566747,12.724885376170278,26.04870674200356,21.829803664702922,12.201065301895142,5.254913239739835,516.2846704190597,5.74278452899307,54.164342793636024,29.672233666293323,1.456442952156067,0.30539617428630933,0.4671610910814436,0.04367944213908628,0.91547506680871,0.6044539466222446,0.23947005188973117,0.06087450087250592,0.7745201765141463,0.09977641220110622,0.05972722458076993
13,1204.8922341258767,557.4931835825919,647.3990505432848,616.3868128179165,385.3773052020806,38.33789459574837,92.57665468363666,72.21356682649457,294.7017145229438,194.04399029625893,17.787075927026308,17.223725877951438,33.73667695841141,41.1783866040023,50.91936481421362,45.49642378630051,41.40401522889988,46.95415388751644,59.00893508928857,78.81850805982685,97.36182498804192,128.2674122865883,113.9653227802828,104.40512926024348,86.47240358086492,81.29642849238007,56.75954226504109,55.51414447931893,117.07023852306702,22.826126430682052,24.026964534778017,21.39636919043187,20.624455881077665,21.713676286655755,24.355041495091427,29.095814938928015,47.02440937567371,57.25975716586254,61.20423330205267,50.44283216637268,39.53299023215368,40.72526732091501,29.26320181207666,26.502086125563437,41.49995732427669,1153.0519556174422,338.30610867458927,334.8165523872394,241.85424379487995,172.4969046429287,60.27964658062774,5.298499537177122,529.4076449973545,135.2408701957993,156.43475844753448,130.6701299686447,77.73332251658212,26.618157118353338,2.7104067504405975,618.4059015540133,562.685395453238,49.91391292479784,308.577866608377,280.81416486652233,24.4070292704655,448.89215736734695,180.66585681832294,70.60167737264055,76.01112157905663,34.27238419304376,82.5973811806507,44.51182869705917,521.2964916227884,95.16277924888345,219.68197723499907,98.6360950782946,208.55046804904669,83.71192043449082,67.98565871860956,112.11286542834387,28.451943902093262,27.847041080522104,44.78525847085075,11.079620883117968,84.67635553686523,21.922412977619388,40.18646003591857,61.2679400956913,0.4972994029521942,0.0,208.55046804904669,632.8720485514168,83.63912112079561,1.4891134947538376,36.508614694699645,47.13050642609596,48107.856330564406,184.51687425090313,409.3325634085668,94.18652137940808,688.035959038878,1189.3073195738289,400.67887694009914,149.5129384856773,79.59083015078613,45.578187529745264,8.80979775778178,3.865328174788374,24.468336302126772,208.564805620048,208.0675062170958,163.94188996024423,44.12561625685157,161.16403289504342,1.7832582592964172,0.9945988059043884,155.78446456596248,4.5909088756889105,3.0692171156406403,0.4972994029521942,0.0,0.0,0.0,0.0,0.0,19.098702122024406,23.826903015667995,40.21520379678441,80.80108102576742,21.65903175067797,23.770581884808053,47.62034954507544,54.63547774127073,13.463599030177647,2.7928500082343817,796.932718015616,14.390547473027254,87.39913558033004,57.79174979151321,4.36045711537372,0.2807770679342315,0.46269132441295974,0.05993363122543814,0.9098965485925129,0.4507749706361168,0.1730864073502354,0.06308541081618063,0.7996556113060472,0.09716241436977885,0.06541540050426832
14,877.0789448728158,408.1561944128184,468.92275045999736,447.16603190884484,276.06276479358144,26.901594452362588,75.64401106789524,51.30454265013168,220.73343060266825,137.69080344908684,10.286957014139489,14.624973469667111,24.82002987725673,40.63416799869924,36.6272150972959,24.758340149210653,22.696860214931576,35.788190401067595,50.60548332926419,56.846825491554,77.01237213831814,91.6889813762482,79.45747358569315,74.98186746286137,63.80585941349682,63.53835741786793,40.47867149386434,32.03680039499909,86.12147890744359,22.12961238482376,15.36667366025631,13.789628286659536,12.023383584639532,17.32216509541081,22.20772445496459,24.982066320650347,36.91705183737008,41.65336913045212,42.03580701966803,38.13712727565917,28.384455446833954,32.38708290137288,19.912290386600944,15.347564018646608,25.560192608809757,828.5583684381156,242.17896117237206,241.03075602297804,173.11379912215784,118.93008803442717,49.91353723513839,3.39122685104212,382.84948928079825,95.26579061204939,112.48685386097168,98.93484206638004,55.489652859257376,19.146149362207325,1.5262005199324449,474.37121991507934,426.2586961017114,40.92626218213695,239.88804253886997,214.2076891499362,20.710172110208077,300.68800171253065,116.98223754220885,41.555745818886635,49.92787007218931,21.32365138124237,51.39875522588136,25.747360523346515,374.28637836740836,66.48015986028486,157.80563059557335,67.12135395754581,153.31687043186525,68.25901988732971,52.68519584531509,83.16462928951569,17.467045297034474,25.189678540208888,36.74838816250485,6.320953184615973,62.42172990618201,24.489633468585907,27.57693675288374,38.80557442457825,2.7885422241524793e-05,0.022967994213104248,153.29390243765215,471.81002690180117,23.675896148620495,4.0743004977703094,23.16604255093739,0.5098535976831045,34614.15014144905,134.40512747950197,298.7400083596658,73.21303712807344,506.3581729672412,873.9291844452348,296.59103491865585,103.24173841548009,64.02255502205207,35.01769462238212,6.45478754462556,1.0303624440455224,6.442291416806256,172.76644046469323,172.766412579271,128.4298469739133,44.33656560535769,128.23008762285622,8.613808267909917e-05,0.1996732129744032,126.00685559676026,2.185071802444554,0.2105017517401393,0.027417822968345718,0.0,0.0,0.0,0.0,0.0,22.06386032180785,21.868786483890062,36.466776787792696,48.03042338042269,29.013185515677378,22.364685032172247,30.088127850722913,36.47868434596444,7.744532826292243,2.7406314030840804,553.4695167301747,8.572931881363957,61.20820241716683,50.367098711212975,8.281613964169537,0.2761199121106369,0.4653585595672972,0.05849478310937141,0.8985762166980094,0.44990668714746074,0.17480395730409143,0.05692517231664852,0.7896244095185229,0.09819125109648136,0.06481380703968136
15,676.5609387531877,312.25606467574835,364.3048740774393,348.721676684916,227.49398078024387,19.350876435637474,51.79160239547491,29.20280245691538,162.6837564483285,114.06247115135193,10.471088483929634,11.164942651987076,13.873805940151215,26.247827768325806,24.46248483657837,28.290193803608418,18.52987553179264,29.78909932821989,44.920528776943684,48.357705391943455,54.90613280981779,60.118900410830975,57.00796432048082,59.00095418840647,47.91322470456362,45.861226961016655,34.79341493546963,24.08481489866972,72.27659008651972,17.22021722048521,10.092086538672447,13.90777337551117,6.614245034754276,14.361546993255615,20.434538945555687,23.424189269542694,23.520564787089825,30.464357525110245,28.866200178861618,27.425287388265133,22.483638629317284,20.282497078180313,14.358640544116497,14.027073621749878,24.773207545280457,645.4699700623751,192.42933098226786,205.33423737436533,128.08062388002872,84.53651905059814,33.06895770132542,2.0203010737895966,293.9756229817867,81.03250952064991,97.66692382097244,64.86351355910301,36.24889302253723,13.261125400662422,0.9026576578617096,348.9963689222932,324.48026214540005,19.550410769879818,182.7338606491685,170.936637096107,9.262307465076447,248.56406342238188,88.30212689191103,35.29628572613001,41.03991840779781,15.248700939118862,49.810119830071926,21.76496034860611,288.17938781529665,47.36634284257889,122.41773945838213,49.155683651566505,121.04564297199249,48.9829001352191,42.039195746183395,66.18148410320282,12.824963122606277,19.925464436411858,22.73215115070343,6.325284548103809,51.69071325659752,7.3150085881352425,24.873482167720795,37.14847309142351,0.01796586811542511,0.0,121.04564297199249,328.7175385057926,16.81014683097601,0.6504155248403549,14.79249706119299,2.01764976978302,27831.90717855096,94.45059873908758,208.63085959851742,41.73958559334278,344.8210439309478,644.3417887464166,182.8095041885972,75.09338457137346,49.90811891108751,27.343766666948795,6.852113947272301,2.8141556456685066,17.985522277653217,120.19208216667175,120.17411629855633,90.13252335041761,30.041592948138714,87.76633819192648,1.4182019233703613,0.9479832351207733,82.86638356000185,3.3542789965867996,2.5604407340288162,1.1875821501016617,0.16383790969848633,0.0,0.0,0.0,0.0,9.984608255326748,13.378840014338493,22.718207865953445,44.05086721479893,20.997337616980076,15.98630964756012,22.6232118755579,25.372009240090847,3.672183074057102,1.4814718961715698,372.22013399004936,9.577689543366432,51.640488646924496,25.609838157892227,3.304507002234459,0.28442276217851076,0.46153427842168215,0.04316359515335349,0.9297525448399383,0.45271633794178534,0.17891314150512977,0.06065960367654236,0.7479325676295356,0.10682938660295097,0.07147575720386741
16,537.5541005371117,238.995171463695,298.5589290734167,270.05103417483383,183.75018254886095,17.137554397765143,43.89335600779964,22.721973407852147,119.94458669942219,91.31580811278172,10.316475250881012,8.801011365578916,8.617290035031147,23.982440565767774,18.068261691242924,18.986448683014714,15.580190625368232,23.507897328319814,32.54319178480546,36.439984938378075,45.83926111293226,44.066641927033515,46.68848241065757,47.92324161813053,37.532843902297145,34.42908616009413,32.2907982120837,24.925895848879236,54.749433728106624,13.446458332016391,8.527470739047203,9.454457277869324,5.9391741910794735,11.587997873750965,12.08933313088437,14.44708403830191,23.590007550102882,22.547206808789724,23.612516539497847,19.72994861664165,17.120909201116092,17.068858701694353,13.674516413458832,11.155678359227068,15.003553690216904,509.7611765321353,156.60960907288631,162.66742700842906,96.7896270699298,68.2276703665193,23.87330138751713,1.593541626853721,223.43550981665726,68.03423294529625,71.0039069233917,47.36525336370937,26.975138552455974,9.348565998298227,0.7084120335057378,271.1603853553595,256.6961898714969,12.561705569842388,138.3011836891087,132.9212760167095,4.712048703875098,205.3565642417268,69.26560142565336,33.82955464750012,30.445156497964945,11.25072925463246,39.94440784778749,17.670777909523167,221.59770588591346,46.936838308370625,101.13744524847425,37.9086001707451,103.6322296985793,42.35601860984525,36.77608424391906,57.49547349207205,9.360671962588185,17.510107288705967,21.006582602984054,3.8393287181552296,31.321361128416356,5.827092901692822,24.299294869556434,41.27361826367542,0.17671474814414978,0.7341477870941162,102.89808191148518,276.4776059947783,13.469992099042884,9.372326985612744e-07,12.743946267004958,0.7260458320379257,22500.57076455262,77.22037714829571,177.65845717725597,34.059234090636664,288.93806841618834,524.7058991489457,158.97695582089227,64.13622639708728,37.41067494153094,19.974790337943205,5.449323367815396,2.990097550919245,18.078687518436254,95.69540045568988,95.69540045568988,72.92257385347557,22.77282660221431,70.9957701571841,1.8577525898310796,0.06905110646039248,60.986897399196096,7.685626558959484,2.3578425112104924,1.892207384109497,0.0,0.0,0.0,0.0,0.0,6.0437237701303275,15.562710190514053,17.823855235835026,33.49228465699616,14.573246230650511,14.223431080572027,12.945240286704802,21.50176436013885,8.676926196910244,1.0019656984991343,339.14273782428586,10.147504845669346,44.92943944084368,15.54414979522926,2.301479771733284,0.29133739081593013,0.44459742977478267,0.04226918441352949,0.946658154121934,0.4346563534054012,0.19278474407512164,0.05663645104287149,0.7721834074719632,0.10184916024899121,0.06778849775672453
17,1454.7650943347653,638.6139343706745,816.1511599640908,629.435655224428,573.7262699735256,40.59143138060608,145.33150488509636,65.68023287110918,292.0823872652727,284.28980806437903,16.20670439819878,27.217570152006374,18.817464490817656,60.02032042094652,67.21831344364546,62.589252715170005,52.76314424695738,65.26909771378996,47.05398214505476,87.74409519482288,103.36957234500733,102.09422506994088,125.97955265393466,95.85240336973584,109.22574634565171,115.85155293345815,92.71788802111769,78.83112270478887,188.18482501074322,31.974802842196368,32.72677111039593,31.997507057945768,24.677635171177826,28.625244540413405,20.408284383087448,37.51624520694895,49.77274828346708,42.96074213144675,58.04152065495873,47.429516523996426,41.639506652725686,46.56167283026298,43.39095943880602,41.79953135101823,59.09124619182694,1378.481561199067,445.3214770378145,461.0757581042344,232.53797811986806,166.29483452229397,67.5836405375303,5.667872877325863,599.8923178514888,193.73762264779361,199.10566857906815,108.42990691171508,60.8886269924551,36.1857707594354,1.5447219610214233,687.5138186006916,650.6970870226469,31.19040543421579,329.95560247326284,314.26192101859124,12.511075124122726,577.4233891543117,211.95925088687363,102.99997782996434,94.377506520108,42.583514892736275,90.49277954643185,37.34536431050583,638.290657963862,110.45192403185865,289.55312525780755,126.52711170889597,169.93254468184023,62.42193923380546,46.4118867742618,96.10530751385159,27.41535039372684,21.133514814511727,33.3136085195365,7.974815899757232,60.92914026166545,6.849587482283823,35.510718553578045,66.49064758882378,0.15245079548913054,0.0,169.93254468184023,684.9743260434298,87.16105561485892,0.0,87.16105561485892,0.0,74434.72843924297,178.0609225154003,421.9287654762411,117.39922047542859,717.38890846707,1425.0591188022336,360.7843459739488,162.7803503769719,86.7746217087988,73.17649412771789,23.350233000332082,10.522863279300509,68.93306543541257,512.0832902689835,512.0832902689835,275.80932367934656,236.27396658963698,259.5083113756664,4.049396567977965,12.251615735702217,161.90238747274634,88.42448554721341,23.578832418192178,1.728427077177912,0.17519116401672363,0.0,0.0,0.0,0.0,32.82243286821176,126.37837275262791,70.3576772859451,46.25084077256179,108.70599312994818,66.97836512802314,51.53432105972388,31.415030925785686,13.9109783498061,3.2646350860595703,833.6364262404095,75.80971538531594,134.80828493077206,48.712493227725645,16.478830135532917,0.30611229178649696,0.43898079274626794,0.045148342592824874,0.9464494667860227,0.4220165513351968,0.11681098573481168,0.06487473949412081,0.7298198929081348,0.12935753390261012,0.060314957745770274
47,889.594506092826,409.6218687461885,479.9726373466375,386.63017003436903,364.18413807596784,20.950441092194524,76.35857328887704,41.47118360141758,186.86675217718584,183.24090006245257,7.6140939313336276,14.889686558208442,17.010436017008033,38.91945321299136,31.052958773449063,32.349681720137596,32.322029013128486,37.627072201550966,39.92617324318088,56.447058726043906,61.65664124669274,76.00700722809415,69.89832326343657,62.35254097322468,68.27463154961221,56.73232577869203,59.822723446181044,50.48808032233501,115.71780539407536,16.568660639226437,20.950919579714537,17.88111688941717,20.899994790554047,16.81773210124811,20.082018598914146,31.885904913709965,32.883015951141715,31.838066615047865,27.66267105714559,25.644616598030552,32.9387485939991,24.302619341528043,28.79119597550016,22.653111938154325,37.82147516285676,841.522410391355,249.2626716227672,264.66206179951274,180.93873251555488,113.49715523375198,31.87046987749636,1.2913193422718905,385.67016672512614,115.818508884599,118.57244186433871,98.20937367691658,36.38543198246043,16.684360455721617,4.9861089792102575e-05,417.61483405056,383.2950816498772,30.549713462532964,215.00798747725509,199.54531117938183,11.692637359723449,369.657578335688,139.21318416057528,61.539831729314756,55.545051047087675,26.790386341512203,44.15345890796743,24.475630218104925,352.8338583448157,72.43469778959314,208.41923665131816,87.0319317239211,135.1314480858855,54.223177356412634,52.18105719034793,65.23666267067892,17.71372822485864,26.42974230827531,23.837481474329252,3.955953573808074,64.03071442205692,8.855968952178955,29.47474394546589,32.770020766183734,0.0,0.0,135.1314480858855,444.29337474589425,9.222928942996077,1.0255388971418142,9.222928942996077,0.0,42178.944677939784,104.06933800197163,317.16159428685205,41.92988358042203,463.1608158692457,884.594506092826,234.33108745526988,109.68027575982177,61.88456071342807,43.63826465196724,11.20927213318646,2.417355155572295,14.649765703827143,146.89125949485953,146.89125949485953,92.21112501837412,54.68013447648541,80.18475949867769,11.111129631670684,0.9152358880257365,3.7589960128991065,49.453742408447006,35.18536743504228,1.7863887771964073,1.3505602906807326,0.14563477039337158,0.0,0.53043532371521,0.0,4.202357647753334,15.469052517483025,22.25633291329723,50.28338193984053,13.58686306259785,7.277989016484017,25.11906404403271,25.515894332609605,14.755311127752066,5.956003434897866,584.2322874347983,17.64142773612219,65.09031591679576,9.479381365456167,0.0,0.2801980789174945,0.4604590810090344,0.046618075221217935,0.9178196040887577,0.3281271751580605,0.15190229611398365,0.062438617444982004,0.7427471224426917,0.13007927162490887,0.0634525711877023
