NOMEFILE,ANNO,TIPO,liste_sindaco_preferenze_referendum_presidente,rounds,DATA,CITTA,id_elections
amm2016_preferenze.csv,2016,comunali,preferenze,single-round,2016-06-05,TORINO,amm2016_preferenze.csv2016_comunali_single-round_TORINO
amm2016_circ1_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ1_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ1_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ1_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ2_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ2_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ2_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ2_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ3_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ3_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ3_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ3_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ4_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ4_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ4_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ4_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ5_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ5_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ5_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ5_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ6_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ6_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ6_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ6_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ7_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ7_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ7_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ7_preferenze.csv2016_municipali_single-round_TORINO
amm2016_circ8_elezione.csv,2016,municipali,liste,single-round,2016-06-05,TORINO,amm2016_circ8_elezione.csv2016_municipali_single-round_TORINO
amm2016_circ8_preferenze.csv,2016,municipali,preferenze,single-round,2016-06-05,TORINO,amm2016_circ8_preferenze.csv2016_municipali_single-round_TORINO
pol2022_liste.csv,2022,camera,liste,single-round,2022-09-30,TORINO,pol2022_liste.csv2022_camera_single-round_TORINO
liste_regionali2005.csv,2005,regionali,liste,single-round,2005-04-03,ROMA,liste_regionali2005.csv2005_regionali_single-round_ROMA
camera_2006.csv,2006,camera,liste,single-round,2006-04-09,ROMA,camera_2006.csv2006_camera_single-round_ROMA
comunali_sindaco_2008.csv,2008,comunali,sindaco,first-round,2008-04-13,ROMA,comunali_sindaco_2008.csv2008_comunali_first-round_ROMA
comunali_sindaco_ballotagio_2008.csv,2008,comunali,sindaco,run-off,2008-04-27,ROMA,comunali_sindaco_ballotagio_2008.csv2008_comunali_run-off_ROMA
camera_2008.csv,2008,camera,liste,single-round,2008-04-13,ROMA,camera_2008.csv2008_camera_single-round_ROMA
europee_liste_2009.csv,2009,europee,liste,single-round,2009-06-06,ROMA,europee_liste_2009.csv2009_europee_single-round_ROMA
comunali_sindaco_2013.csv,2013,comunali,sindaco,first-round,2013-05-26,ROMA,comunali_sindaco_2013.csv2013_comunali_first-round_ROMA
comunali_sindaco_ballotagio_2013.csv,2013,comunali,sindaco,run-off,2013-06-10,ROMA,comunali_sindaco_ballotagio_2013.csv2013_comunali_run-off_ROMA
camera_2013.csv,2013,camera,liste,single-round,2013-02-24,ROMA,camera_2013.csv2013_camera_single-round_ROMA
europee_liste_2014.csv,2014,europee,liste,single-round,2014-05-25,ROMA,europee_liste_2014.csv2014_europee_single-round_ROMA
comunali_sindaco_2016.csv,2016,comunali,sindaco,first-round,2016-06-05,ROMA,comunali_sindaco_2016.csv2016_comunali_first-round_ROMA
comunali_presidente_municipio_9_ballotagio_2016.csv,2016,municipali,presidente,run-off,2016-06-19,ROMA,comunali_presidente_municipio_9_ballotagio_2016.csv2016_municipali_run-off_ROMA
comunali_sindaco_ballotagio_2016.csv,2016,comunali,sindaco,run-off,2016-06-19,ROMA,comunali_sindaco_ballotagio_2016.csv2016_comunali_run-off_ROMA
liste_regionali2018.csv,2018,regionali,liste,single-round,2018-03-04,ROMA,liste_regionali2018.csv2018_regionali_single-round_ROMA
camera_2018_plurinominale.csv,2018,camera,liste,single-round,2018-03-04,ROMA,camera_2018_plurinominale.csv2018_camera_single-round_ROMA
preferenze_regionali2018.csv,2018,regionali,preferenze,single-round,2018-03-04,ROMA,preferenze_regionali2018.csv2018_regionali_single-round_ROMA
europee2019.csv,2019,europee,liste,single-round,2019-05-26,ROMA,europee2019.csv2019_europee_single-round_ROMA
comunali_presidente_municipio_1_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_1_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_2_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_2_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_3_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_3_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_4_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_4_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_5_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_5_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_6_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_6_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_7_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_7_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_8_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_8_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_9_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_9_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_12_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_12_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_13_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_13_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_14_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_14_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_municipio_15_2021.csv,2021,municipali,presidente,first-round,2021-10-03,ROMA,comunali_presidente_municipio_15_2021.csv2021_municipali_first-round_ROMA
comunali_presidente_ballotaggio_municipio_1_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_1_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_2_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_2_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_3_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_3_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_4_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_4_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_5_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_5_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_6_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_6_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_7_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_7_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_8_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_8_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_9_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_9_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_10_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_10_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_11_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_11_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_12_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_12_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_13_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_13_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_14_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_14_2021.csv2021_municipali_run-off_ROMA
comunali_presidente_ballotaggio_municipio_15_2021.csv,2021,municipali,presidente,run-off,2021-10-17,ROMA,comunali_presidente_ballotaggio_municipio_15_2021.csv2021_municipali_run-off_ROMA
comunali_preferenze_2021_municipio_1_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_1_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_2_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_2_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_3_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_3_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_4_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_4_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_5_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_5_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_6_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_6_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_7_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_7_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_8_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_8_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_9_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_9_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_10_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_10_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_11_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_11_2021.csv2021_municipali_single-round_ROMA
